timstamp,high,low,open,close
1502928000000,301.13000000,312.18000000,298.00000000,302.00000000
1503014400000,302.00000000,311.79000000,283.94000000,293.96000000
1503100800000,293.31000000,299.90000000,278.00000000,290.91000000
1503187200000,289.41000000,300.53000000,282.85000000,299.10000000
1503273600000,299.10000000,346.52000000,294.60000000,323.29000000
1503360000000,321.04000000,330.41000000,144.21000000,309.80000000
1503446400000,312.25000000,324.99000000,309.41000000,315.74000000
1503532800000,315.74000000,328.04000000,314.01000000,323.42000000
1503619200000,323.42000000,338.28000000,323.42000000,327.24000000
1503705600000,327.24000000,335.44000000,323.41000000,330.79000000
1503792000000,332.18000000,348.13000000,330.73000000,348.13000000
1503878400000,348.11000000,351.00000000,331.95000000,346.00000000
1503964800000,347.00000000,377.60000000,346.00000000,374.70000000
1504051200000,374.70000000,393.71000000,362.05000000,385.93000000
1504137600000,384.64000000,389.36000000,377.78000000,384.79000000
1504224000000,386.44000000,394.39000000,383.18000000,388.46000000
1504310400000,388.58000000,394.32000000,320.08000000,343.14000000
1504396800000,343.56000000,367.28000000,320.08000000,341.77000000
1504483200000,339.29000000,344.55000000,267.94000000,283.77000000
1504569600000,286.81000000,321.52000000,235.55000000,312.09000000
1504656000000,313.29000000,336.34000000,312.09000000,335.00000000
1504742400000,335.01000000,342.50000000,320.17000000,334.49000000
1504828800000,334.49000000,335.10000000,272.00000000,302.99000000
1504915200000,300.01000000,307.00000000,281.66000000,296.74000000
1505001600000,296.72000000,302.78000000,261.03000000,293.50000000
1505088000000,293.51000000,304.98000000,285.21000000,297.30000000
1505174400000,297.78000000,316.46000000,286.01000000,293.96000000
1505260800000,293.93000000,294.50000000,257.05000000,276.91000000
1505347200000,275.76000000,283.77000000,215.00000000,215.21000000
1505433600000,217.00000000,270.93000000,192.00000000,253.00000000
1505520000000,255.99000000,271.81000000,235.51000000,249.31000000
1505606400000,249.32000000,264.39000000,239.02000000,257.55000000
1505692800000,257.53000000,306.22000000,257.11000000,294.57000000
1505779200000,296.00000000,300.00000000,277.41000000,284.00000000
1505865600000,284.01000000,294.00000000,275.91000000,282.00000000
1505952000000,285.10000000,287.00000000,252.10000000,257.00000000
1506038400000,258.00000000,272.97000000,253.01000000,264.00000000
1506124800000,259.99000000,286.23000000,255.11000000,285.93000000
1506211200000,286.50000000,294.61000000,275.00000000,282.00000000
1506297600000,282.00000000,299.00000000,281.34000000,294.42000000
1506384000000,294.42000000,296.81000000,286.24000000,287.90000000
1506470400000,289.91000000,313.00000000,286.13000000,309.74000000
1506556800000,309.81000000,311.81000000,296.89000000,302.44000000
1506643200000,302.44000000,303.00000000,274.00000000,292.22000000
1506729600000,292.62000000,307.49000000,292.22000000,304.36000000
1506816000000,305.13000000,306.00000000,294.00000000,303.95000000
1506902400000,303.94000000,305.00000000,295.00000000,296.50000000
1506988800000,298.15000000,301.99000000,283.18000000,292.48000000
1507075200000,292.47000000,297.97000000,288.00000000,291.99000000
1507161600000,290.00000000,297.44000000,285.53000000,294.81000000
1507248000000,294.78000000,310.80000000,293.78000000,310.80000000
1507334400000,309.90000000,318.50000000,303.60000000,311.01000000
1507420800000,311.08000000,317.07000000,309.00000000,311.07000000
1507507200000,311.13000000,312.13000000,286.65000000,297.19000000
1507593600000,297.35000000,308.56000000,293.00000000,298.64000000
1507680000000,300.88000000,305.50000000,298.02000000,304.01000000
1507766400000,304.01000000,310.00000000,302.71000000,303.99000000
1507852800000,303.52000000,353.96000000,297.00000000,337.96000000
1507939200000,337.96000000,349.80000000,335.00000000,342.00000000
1508025600000,342.00000000,348.00000000,316.17000000,337.96000000
1508112000000,337.50000000,354.00000000,332.78000000,335.19000000
1508198400000,335.18000000,336.58000000,312.65000000,315.19000000
1508284800000,315.19000000,318.00000000,284.68000000,309.70000000
1508371200000,311.52000000,315.00000000,300.00000000,308.66000000
1508457600000,308.66000000,311.18000000,302.00000000,304.51000000
1508544000000,304.51000000,305.34000000,290.00000000,298.94000000
1508630400000,298.99000000,306.99000000,290.00000000,293.79000000
1508716800000,293.78000000,294.60000000,272.20000000,281.09000000
1508803200000,282.27000000,310.00000000,275.50000000,297.38000000
1508889600000,295.43000000,300.00000000,281.00000000,294.49000000
1508976000000,294.10000000,299.76000000,291.03000000,294.71000000
1509062400000,294.72000000,298.10000000,292.03000000,296.33000000
